model_name,imagenet_accuracy,view_accuracy
resnet18.a3_in1k,68.252,48.0
resnet152.a3_in1k,80.546,49.0
resnet101.a3_in1k,79.814,50.0
resnet50.a3_in1k,78.048,46.0
resnet34.a3_in1k,72.97,48.0
resnet18.a3_in1k,68.252,48.0
vit_tiny_patch16_224.augreg_in21k_ft_in1k,75.462,47.0
vit_small_patch16_224.augreg_in1k,78.848,62.0
vit_small_patch16_224.augreg_in21k_ft_in1k,81.386,57.99999999999999
vit_base_patch16_224.augreg_in21k_ft_in1k,84.532,54.0
vit_large_patch16_224.augreg_in21k_ft_in1k,85.836,56.00000000000001
beit_base_patch16_224.in22k_ft_in22k_in1k,85.212,56.00000000000001
beitv2_base_patch16_224.in1k_ft_in1k,85.594,54.0
beitv2_base_patch16_224.in1k_ft_in22k_in1k,86.474,57.99999999999999
beit_base_patch16_384.in22k_ft_in22k_in1k,86.8,56.99999999999999
beit_large_patch16_224.in22k_ft_in22k_in1k,87.478,60.0
beit_large_patch16_384.in22k_ft_in22k_in1k,88.402,56.99999999999999
beit_large_patch16_512.in22k_ft_in22k_in1k,88.596,57.99999999999999
beitv2_large_patch16_224.in1k_ft_in1k,87.412,56.00000000000001
beitv2_large_patch16_224.in1k_ft_in22k_in1k,88.394,55.00000000000001
caformer_m36.sail_in1k,85.232,52.0
caformer_m36.sail_in22k_ft_in1k,86.594,51.0
caformer_s18.sail_in1k,83.654,55.00000000000001
caformer_s18.sail_in22k_ft_in1k,84.074,48.0
caformer_s36.sail_in1k,84.506,52.0
caformer_s36.sail_in22k_ft_in1k,85.79,56.99999999999999
cait_s24_224.fb_dist_in1k,83.442,53.0
cait_xxs24_224.fb_dist_in1k,78.384,48.0
cait_xxs36_224.fb_dist_in1k,79.746,50.0
coat_lite_medium.in1k,83.6,56.00000000000001
coat_lite_mini.in1k,79.102,50.0
coat_lite_small.in1k,82.312,48.0
coat_lite_tiny.in1k,77.52,51.0
coat_mini.in1k,81.27,56.00000000000001
coat_small.in1k,82.362,45.0
coat_tiny.in1k,78.426,63.0
coatnet_0_rw_224.sw_in1k,82.39,48.0
coatnet_1_rw_224.sw_in1k,83.596,60.0
coatnet_bn_0_rw_224.sw_in1k,82.4,60.0
coatnet_nano_rw_224.sw_in1k,81.696,54.0
coatnet_rmlp_1_rw_224.sw_in1k,83.362,50.0
coatnet_rmlp_1_rw2_224.sw_in12k_ft_in1k,84.91,59.0
coatnet_rmlp_2_rw_224.sw_in1k,84.608,52.0
coatnet_rmlp_nano_rw_224.sw_in1k,82.05,52.0
convit_base.fb_in1k,82.29,55.00000000000001
convit_small.fb_in1k,81.42,61.0
convit_tiny.fb_in1k,73.112,55.00000000000001
convmixer_1024_20_ks9_p14.in1k,76.936,57.99999999999999
convmixer_1536_20.in1k,81.362,47.0
convmixer_768_32.in1k,80.168,48.0
davit_base.msft_in1k,84.642,49.0
davit_small.msft_in1k,84.252,53.0
